Change Physical Footprint: Designator=R7 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R8 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R9 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R10 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R11 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R12 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R13 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R14 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R15 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R16 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R17 Old Footprint=RESC1005X35N New Footprint=RESC1005X35N
Change Physical Footprint: Designator=R18 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R19 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R20 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R21 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R22 Old Footprint=RES_ERJU06F1001V New Footprint=RES_ERJU06F1001V
Change Physical Footprint: Designator=R23 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R24 Old Footprint=RESC3126X65N New Footprint=RESC3126X65N
Change Physical Footprint: Designator=R25 Old Footprint=RESC3126X65N New Footprint=RESC3126X65N
Change Physical Footprint: Designator=R26 Old Footprint=RESC6432X75N New Footprint=RESC6432X75N
Change Physical Footprint: Designator=R27 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R28 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R29 Old Footprint=RES_ERJU06F1001V New Footprint=RES_ERJU06F1001V
Change Physical Footprint: Designator=R30 Old Footprint=RESC1005X40N New Footprint=RESC1005X40N
Change Physical Footprint: Designator=R31 Old Footprint=RES_ERJS02F2212X New Footprint=RES_ERJS02F2212X
Change Physical Footprint: Designator=R32 Old Footprint=RES_ERJU06F4752V New Footprint=RES_ERJU06F4752V
Change Physical Footprint: Designator=R33 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R34 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R35 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R36 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R37 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R38 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R_1 Old Footprint=RES_ERJU06F1001V New Footprint=RES_ERJU06F1001V
Change Physical Footprint: Designator=R_2 Old Footprint=RES_ERJU06F1001V New Footprint=RES_ERJU06F1001V
Change Physical Footprint: Designator=R_3 Old Footprint=RES_ERJU06F1001V New Footprint=RES_ERJU06F1001V
Change Physical Footprint: Designator=R_LED1 Old Footprint=LED3MM New Footprint=LED3MM
Change Physical Footprint: Designator=RESET Old Footprint=SW_4-1437565-2 New Footprint=SW_4-1437565-2
Change Physical Footprint: Designator=Speaker1 Old Footprint=SPKR_CVS-1508 New Footprint=SPKR_CVS-1508
Change Physical Footprint: Designator=U1 Old Footprint=SOP127P600X175-9N New Footprint=SOP127P600X175-9N
Change Physical Footprint: Designator=U2 Old Footprint=SOT95P280X145-6N New Footprint=SOT95P280X145-6N
Change Physical Footprint: Designator=U3 Old Footprint=QFN50P500X500X80-29N New Footprint=QFN50P500X500X80-29N
Change Physical Footprint: Designator=USB_Type_C1 Old Footprint=*CUI_UJ20-C-H-G-SMT-TR_UJ20-C-H-G-SMT-TR(Primary) New Footprint=*CUI_UJ20-C-H-G-SMT-TR_UJ20-C-H-G-SMT-TR(Primary)
